"WeekCountry";"FstDose";"SecDose"
"Bulgaria2021-37";58095.0;52743.0
"Bulgaria2021-38";43427.0;45760.0
"Bulgaria2021-39";43702.0;35941.0
"Bulgaria2021-40";38075.0;32519.0
"Bulgaria2021-41";46422.0;26101.0
"Bulgaria2021-42";164669.0;27758.0
"Bulgaria2021-43";227130.0;26801.0
"Bulgaria2021-44";166587.0;27053.0
"Bulgaria2021-45";115361.0;64184.0
"Bulgaria2021-46";91178.0;100340.0
"Bulgaria2021-47";78598.0;87390.0
"Bulgaria2021-48";63966.0;67960.0
"Bulgaria2021-49";46841.0;53710.0
"Bulgaria2021-50";43796.0;47012.0
"Bulgaria2021-51";35108.0;31812.0
"Bulgaria2021-52";21328.0;21893.0
"Bulgaria2022-01";47762.0;33395.0
"Bulgaria2022-02";48280.0;22970.0
"Bulgaria2022-03";33805.0;12903.0
"Bulgaria2022-04";19522.0;24046.0
"Bulgaria2022-05";14817.0;28324.0
"Bulgaria2022-06";12069.0;23052.0
"Bulgaria2022-07";9074.0;14062.0
"Bulgaria2022-08";6401.0;10083.0
"Bulgaria2022-09";3100.0;6219.0
"Bulgaria2022-10";3247.0;5921.0
"Bulgaria2022-11";2844.0;4180.0
"Bulgaria2022-12";2313.0;2696.0
"Bulgaria2022-13";2220.0;1855.0
"Bulgaria2022-14";2166.0;1530.0
"Bulgaria2022-15";2377.0;1523.0
"Bulgaria2022-16";1456.0;1014.0
"Bulgaria2022-17";1731.0;1385.0
"Bulgaria2022-18";1244.0;892.0
"Bulgaria2022-19";1693.0;1145.0
"Bulgaria2022-20";1227.0;775.0
"Bulgaria2022-21";1016.0;634.0
"Bulgaria2022-22";1042.0;685.0
"Bulgaria2022-23";797.0;611.0
"Bulgaria2022-24";760.0;480.0
"Bulgaria2022-25";827.0;386.0
"Bulgaria2022-26";1085.0;459.0
"Bulgaria2022-27";1400.0;442.0
"Bulgaria2022-28";2097.0;522.0
"Bulgaria2022-29";2302.0;621.0
"Bulgaria2022-30";1936.0;918.0
"Bulgaria2022-31";1954.0;1079.0
"Bulgaria2022-32";1964.0;1336.0
