YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,PL,97432,,,0,,0,0,0,0,0,0,0,PL61,Age0_4,JANSS,37958138
2020-W53,PL,97432,,,0,,0,0,0,0,0,0,0,PL61,Age0_4,COM,37958138
2020-W53,PL,97432,,,0,,0,0,0,0,0,0,0,PL61,Age0_4,AZ,37958138
2020-W53,PL,97318,,,31,,0,0,0,0,0,0,0,PL62,Age70_79,COM,37958138
2020-W53,PL,97318,,,0,,0,0,0,0,0,0,0,PL62,Age70_79,NVXD,37958138
2020-W53,PL,97318,,,0,,0,0,0,0,0,0,0,PL62,Age70_79,MOD,37958138
2020-W53,PL,97318,,,0,,0,0,0,0,0,0,0,PL62,Age70_79,JANSS,37958138
2020-W53,PL,97318,,,0,,0,0,0,0,0,0,0,PL62,Age70_79,AZ,37958138
2020-W53,PL,96687,,,0,,0,0,0,0,0,0,0,PL81,Age0_4,NVXD,37958138
2020-W53,PL,96687,,,0,,0,0,0,0,0,0,0,PL81,Age0_4,MOD,37958138
2020-W53,PL,96687,,,0,,0,0,0,0,0,0,0,PL81,Age0_4,JANSS,37958138
2020-W53,PL,96687,,,0,,0,0,0,0,0,0,0,PL81,Age0_4,COM,37958138
2020-W53,PL,96687,,,0,,0,0,0,0,0,0,0,PL81,Age0_4,AZ,37958138
2020-W53,PL,940802,,,2426,,0,0,0,0,0,0,0,PL84,ALL,COM,37958138
2020-W53,PL,940802,,,0,,0,0,0,0,0,0,0,PL84,ALL,NVXD,37958138
2020-W53,PL,940802,,,0,,0,0,0,0,0,0,0,PL84,ALL,MOD,37958138
2020-W53,PL,940802,,,0,,0,0,0,0,0,0,0,PL84,ALL,JANSS,37958138
2020-W53,PL,940802,,,0,,0,0,0,0,0,0,0,PL84,ALL,AZ,37958138
2020-W53,PL,93111,,,19,,0,0,0,0,0,0,0,PL82,Age80+,COM,37958138
2020-W53,PL,93111,,,0,,0,0,0,0,0,0,0,PL82,Age80+,NVXD,37958138
2020-W53,PL,93111,,,0,,0,0,0,0,0,0,0,PL82,Age80+,MOD,37958138
2020-W53,PL,93111,,,0,,0,0,0,0,0,0,0,PL82,Age80+,JANSS,37958138
2020-W53,PL,93111,,,0,,0,0,0,0,0,0,0,PL82,Age80+,AZ,37958138
2020-W53,PL,91713,,,23,,0,0,0,0,0,0,0,PL63,Age80+,COM,37958138
2020-W53,PL,91713,,,0,,0,0,0,0,0,0,0,PL63,Age80+,NVXD,37958138
2020-W53,PL,91713,,,0,,0,0,0,0,0,0,0,PL63,Age80+,MOD,37958138
2020-W53,PL,91713,,,0,,0,0,0,0,0,0,0,PL63,Age80+,JANSS,37958138
2020-W53,PL,91713,,,0,,0,0,0,0,0,0,0,PL63,Age80+,AZ,37958138
2020-W53,PL,88483,,,15,,0,0,0,0,0,0,0,PL72,Age18_24,COM,37958138
2020-W53,PL,88483,,,0,,0,0,0,0,0,0,0,PL72,Age18_24,NVXD,37958138
2020-W53,PL,88483,,,0,,0,0,0,0,0,0,0,PL72,Age18_24,MOD,37958138
2020-W53,PL,88483,,,0,,0,0,0,0,0,0,0,PL72,Age18_24,JANSS,37958138
2020-W53,PL,88483,,,0,,0,0,0,0,0,0,0,PL72,Age18_24,AZ,37958138
2020-W53,PL,88262,,,0,,0,0,0,0,0,0,0,PL42,Age10_14,NVXD,37958138
2020-W53,PL,88262,,,0,,0,0,0,0,0,0,0,PL42,Age10_14,MOD,37958138
2020-W53,PL,88262,,,0,,0,0,0,0,0,0,0,PL42,Age10_14,JANSS,37958138
2020-W53,PL,88262,,,0,,0,0,0,0,0,0,0,PL42,Age10_14,COM,37958138
2020-W53,PL,88262,,,0,,0,0,0,0,0,0,0,PL42,Age10_14,AZ,37958138
2020-W53,PL,869879,,,1920,,1,0,0,0,0,0,0,PL71,Age25_49,COM,37958138
2020-W53,PL,869879,,,0,,0,0,0,0,0,0,0,PL71,Age25_49,NVXD,37958138
2020-W53,PL,869879,,,0,,0,0,0,0,0,0,0,PL71,Age25_49,MOD,37958138
2020-W53,PL,869879,,,0,,0,0,0,0,0,0,0,PL71,Age25_49,JANSS,37958138
2020-W53,PL,869879,,,0,,0,0,0,0,0,0,0,PL71,Age25_49,AZ,37958138
2020-W53,PL,862738,,,2536,,0,0,0,0,0,0,0,PL63,Age25_49,COM,37958138
2020-W53,PL,862738,,,0,,0,0,0,0,0,0,0,PL63,Age25_49,NVXD,37958138
2020-W53,PL,862738,,,0,,0,0,0,0,0,0,0,PL63,Age25_49,MOD,37958138
2020-W53,PL,862738,,,0,,0,0,0,0,0,0,0,PL63,Age25_49,JANSS,37958138
2020-W53,PL,862738,,,0,,0,0,0,0,0,0,0,PL63,Age25_49,AZ,37958138
2020-W53,PL,85436,,,40,,0,0,0,0,0,0,0,PL84,Age18_24,COM,37958138
2020-W53,PL,85436,,,0,,0,0,0,0,0,0,0,PL84,Age18_24,NVXD,37958138
2020-W53,PL,85436,,,0,,0,0,0,0,0,0,0,PL84,Age18_24,MOD,37958138
2020-W53,PL,85436,,,0,,0,0,0,0,0,0,0,PL84,Age18_24,JANSS,37958138
2020-W53,PL,85436,,,0,,0,0,0,0,0,0,0,PL84,Age18_24,AZ,37958138
2020-W53,PL,84585,,,127,,0,0,0,0,0,0,0,PL84,Age70_79,COM,37958138
2020-W53,PL,84585,,,0,,0,0,0,0,0,0,0,PL84,Age70_79,NVXD,37958138
2020-W53,PL,84585,,,0,,0,0,0,0,0,0,0,PL84,Age70_79,MOD,37958138
2020-W53,PL,84585,,,0,,0,0,0,0,0,0,0,PL84,Age70_79,JANSS,37958138
2020-W53,PL,84585,,,0,,0,0,0,0,0,0,0,PL84,Age70_79,AZ,37958138
2020-W53,PL,83233,,,20,,0,0,0,0,0,0,0,PL61,Age80+,COM,37958138
2020-W53,PL,83233,,,0,,0,0,0,0,0,0,0,PL61,Age80+,NVXD,37958138
