DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-08,21413,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-09,20472,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-10,16802,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-11,11651,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-12,13896,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-01,15579,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-02,14750,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-03,5601,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-07,2747,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-08,3247,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-09,3746,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-10,3414,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-11,349,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2020-12,303,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-01,48,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-02,47,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-05,49,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-06,1065,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-07,5847,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-08,6523,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-09,5568,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-10,5020,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-11,3233,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2021-12,2238,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-01,1540,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-02,1364,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-03,3412,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-04,5422,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-05,8319,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-06,10391,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-07,9783,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-08,9233,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-09,9142,
